strategy,base,tier,odds,oos_win,oos_roi,bets,backed,price_column,graded_against,min_odds_floor,hold_sec,window_sec,market_status_columns,n_conditions,conditions,sql_predicate,source_book
LZ_V270_BASK_015,,Vision,2.193,57.5,11.8,346,,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,3,lead_size >= 7 AND drift_ratio >= 0.6632 AND lead_odds >= 1.50,"""lead_size"" IS NOT NULL AND ""lead_size"" >= 7 AND ""drift_ratio"" IS NOT NULL AND ""drift_ratio"" >= 0.6632 AND ""lead_odds"" IS NOT NULL AND ""lead_odds"" >= 1.50",COMBINA_1027.xlsx
BAS_late_lead_ho_0226,late_lead_hold,Jobber,2.218,49.7,11.2,364,late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,leader_implied_gap >= -0.4524,"""leader_implied_gap"" IS NOT NULL AND ""leader_implied_gap"" >= -0.4524",COMBINA_1027.xlsx
BAS_prop:shorten_0187,prop:shortener_vs_open,Npc,1.649,67.1,10.2,295,prop:shortener_vs_open,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,imbal >= 0.0217,"""imbal"" IS NOT NULL AND ""imbal"" >= 0.0217",COMBINA_1027.xlsx
BAS_dog_leading_0172,dog_leading,Jobber,2.496,44.4,9.7,384,dog_leading,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,tg_overround <= 1.1237,"""tg_overround"" IS NOT NULL AND ""tg_overround"" <= 1.1237",COMBINA_1027.xlsx
BAS_dog_leading_0164,dog_leading,Jobber,2.341,47.5,9,344,dog_leading,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,tg_overround <= 1.1169,"""tg_overround"" IS NOT NULL AND ""tg_overround"" <= 1.1169",COMBINA_1027.xlsx
BAS_prop:first_s_0035,prop:first_scorer_hold,Jobber,2.277,48.6,8.9,305,prop:first_scorer_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,2,px_gap_ratio <= 1.5 AND tg_overround <= 1.1237,"""px_gap_ratio"" IS NOT NULL AND ""px_gap_ratio"" <= 1.5 AND ""tg_overround"" IS NOT NULL AND ""tg_overround"" <= 1.1237",COMBINA_1027.xlsx
BAS_late_lead_ho_0228,late_lead_hold,Jobber,2.388,44.8,8.4,349,late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,u_drift <= 1.8124,"""u_drift"" IS NOT NULL AND ""u_drift"" <= 1.8124",COMBINA_1027.xlsx
BAS_dog_leading_0168,dog_leading,Jobber,2.399,46.1,8.3,322,dog_leading,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,2,tg_overround <= 1.1148 AND req_ratio >= 1.2386,"""tg_overround"" IS NOT NULL AND ""tg_overround"" <= 1.1148 AND ""req_ratio"" IS NOT NULL AND ""req_ratio"" >= 1.2386",COMBINA_1027.xlsx
BAS_prop:drifter_0006,prop:drifter_vs_open,Ino,5.405,19.6,8.3,294,prop:drifter_vs_open,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,3,X_minute__over__u_vol <= 2696.29 AND clean_sheet <= 0 AND lead_m15 <= 1,"""X_minute__over__u_vol"" IS NOT NULL AND ""X_minute__over__u_vol"" <= 2696.29 AND ""clean_sheet"" IS NOT NULL AND ""clean_sheet"" <= 0 AND ""lead_m15"" IS NOT NULL AND ""lead_m15"" <= 1",COMBINA_1027.xlsx
BAS_late_lead_ho_0091,late_lead_hold,Npc,1.568,68.7,7.9,343,late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,loser_runmax >= 1.8722,"""loser_runmax"" IS NOT NULL AND ""loser_runmax"" >= 1.8722",COMBINA_1027.xlsx
BAS_spec:HT_Unde_0010,spec:HT_Underdog_Fade,Jobber,2.671,40.9,7.2,344,spec:HT_Underdog_Fade,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,tp_vel_n >= 0.0108,"""tp_vel_n"" IS NOT NULL AND ""tp_vel_n"" >= 0.0108",COMBINA_1027.xlsx
BAS_prop:first_s_0032,prop:first_scorer_hold,Jobber,2.409,43.5,7.1,336,prop:first_scorer_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,nchg_120 <= 1,"""nchg_120"" IS NOT NULL AND ""nchg_120"" <= 1",COMBINA_1027.xlsx
BAS_dog_leading_0134,dog_leading,Npc,1.709,62.6,7,331,dog_leading,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,fav_odds_trend_60 <= 0.2231,"""fav_odds_trend_60"" IS NOT NULL AND ""fav_odds_trend_60"" <= 0.2231",COMBINA_1027.xlsx
BAS_prop:shorten_0188,prop:shortener_vs_open,Npc,1.654,64.9,6.9,300,prop:shortener_vs_open,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,rk_dog_odds >= 1.84,"""rk_dog_odds"" IS NOT NULL AND ""rk_dog_odds"" >= 1.84",COMBINA_1027.xlsx
BAS_prop:drifter_0007,prop:drifter_vs_open,Feeder,5.137,21.2,6.8,344,prop:drifter_vs_open,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,lead_vs_line <= -170.833,"""lead_vs_line"" IS NOT NULL AND ""lead_vs_line"" <= -170.833",COMBINA_1027.xlsx
BAS_late_lead_ho_0088,late_lead_hold,Npc,1.568,67.9,6.5,348,late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,trailer_price >= 1.8518,"""trailer_price"" IS NOT NULL AND ""trailer_price"" >= 1.8518",COMBINA_1027.xlsx
BAS_q1_winner_0125,q1_winner,Npc,1.513,70.6,6.3,388,q1_winner,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,rk_implied_edge >= 0.0536,"""rk_implied_edge"" IS NOT NULL AND ""rk_implied_edge"" >= 0.0536",COMBINA_1027.xlsx
BAS_late_lead_ho_0227,late_lead_hold,Jobber,2.236,47.7,6.3,302,late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,u_vel_t >= -0.0412,"""u_vel_t"" IS NOT NULL AND ""u_vel_t"" >= -0.0412",COMBINA_1027.xlsx
BAS_dog_leading_0169,dog_leading,Jobber,2.33,46.4,6.3,341,dog_leading,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,2,tg_overround <= 1.1169 AND opp_drift <= 1.0436,"""tg_overround"" IS NOT NULL AND ""tg_overround"" <= 1.1169 AND ""opp_drift"" IS NOT NULL AND ""opp_drift"" <= 1.0436",COMBINA_1027.xlsx
BAS_prop:first_s_0036,prop:first_scorer_hold,Jobber,2.411,44.1,6.3,306,prop:first_scorer_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,loser_runmax <= 2.42,"""loser_runmax"" IS NOT NULL AND ""loser_runmax"" <= 2.42",COMBINA_1027.xlsx
BAS_spec:HT_Unde_0011,spec:HT_Underdog_Fade,Jobber,2.585,41,6.2,347,spec:HT_Underdog_Fade,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,u_drift <= 1,"""u_drift"" IS NOT NULL AND ""u_drift"" <= 1",COMBINA_1027.xlsx
BAS_late_lead_ho_0093,late_lead_hold,Npc,1.614,66.1,6,341,late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,pm_away <= 2.77,"""pm_away"" IS NOT NULL AND ""pm_away"" <= 2.77",COMBINA_1027.xlsx
BAS_late_lead_ho_0090,late_lead_hold,Npc,1.611,66.3,5.8,352,late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,lead_changes_total <= 2,"""lead_changes_total"" IS NOT NULL AND ""lead_changes_total"" <= 2",COMBINA_1027.xlsx
BAS_prop:garbage_0121,prop:garbage_under,Npc,1.761,60,5.8,337,prop:garbage_under,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,motif_1 <= 0,"""motif_1"" IS NOT NULL AND ""motif_1"" <= 0",COMBINA_1027.xlsx
BAS_q1_winner_0133,q1_winner,Npc,1.463,72,5.7,336,q1_winner,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,rk_implied_edge >= 0.1704,"""rk_implied_edge"" IS NOT NULL AND ""rk_implied_edge"" >= 0.1704",COMBINA_1027.xlsx
BAS_prop:match_s_0151,prop:match_spread_cover,Vision,1.922,55.5,5.7,271,prop:match_spread_cover,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,2,spread_cover_now <= 10.8231 AND price_rank_in_match >= 0.0186,"""spread_cover_now"" IS NOT NULL AND ""spread_cover_now"" <= 10.8231 AND ""price_rank_in_match"" IS NOT NULL AND ""price_rank_in_match"" >= 0.0186",COMBINA_1027.xlsx
BAS_dog_leading_0165,dog_leading,Jobber,2.323,45,5.7,318,dog_leading,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,loser_runmin >= 1.28,"""loser_runmin"" IS NOT NULL AND ""loser_runmin"" >= 1.28",COMBINA_1027.xlsx
BAS_tg_under_0045,tg_under,Vision,1.908,55.6,5.6,367,tg_under,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,X_X_u_elapsed__minus__u_time_in_lead__over__X_u_pace__over__u_time_in_lead <= 0.0224,"""X_X_u_elapsed__minus__u_time_in_lead__over__X_u_pace__over__u_time_in_lead"" IS NOT NULL AND ""X_X_u_elapsed__minus__u_time_in_lead__over__X_u_pace__over__u_time_in_lead"" <= 0.0224",COMBINA_1027.xlsx
BAS_spread_dog_c_0201,spread_dog_cover,Vision,1.922,55,5.6,295,spread_dog_cover,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,X_u_elapsed__x__u_time_in_lead >= 0.2114,"""X_u_elapsed__x__u_time_in_lead"" IS NOT NULL AND ""X_u_elapsed__x__u_time_in_lead"" >= 0.2114",COMBINA_1027.xlsx
BAS_prop:late_le_0251,prop:late_lead_hold,Jobber,2.33,46.9,5.3,338,prop:late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,retrace_lead <= 0.3623,"""retrace_lead"" IS NOT NULL AND ""retrace_lead"" <= 0.3623",COMBINA_1027.xlsx
BAS_prop:q4_clos_0253,prop:q4_close_trailer,Feeder,3.897,27.1,5.3,331,prop:q4_close_trailer,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,away_odds <= 4.0695,"""away_odds"" IS NOT NULL AND ""away_odds"" <= 4.0695",COMBINA_1027.xlsx
BAS_SHORTENED_0049,SHORTENED,Npc,1.606,66,5.2,311,SHORTENED,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,trailer_price >= 1.8315,"""trailer_price"" IS NOT NULL AND ""trailer_price"" >= 1.8315",COMBINA_1027.xlsx
BAS_prop:fresh_l_0257,prop:fresh_lead,Npc,1.589,66.5,4.9,353,prop:fresh_lead,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,margin_range_300s <= 5,"""margin_range_300s"" IS NOT NULL AND ""margin_range_300s"" <= 5",COMBINA_1027.xlsx
BAS_prop:shorten_0185,prop:shortener_vs_open,Npc,1.65,63.4,4.9,347,prop:shortener_vs_open,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,dog_odds_vol_180 <= 0.367,"""dog_odds_vol_180"" IS NOT NULL AND ""dog_odds_vol_180"" <= 0.367",COMBINA_1027.xlsx
BAS_prop:shorten_0189,prop:shortener_vs_open,Npc,1.654,63.5,4.9,321,prop:shortener_vs_open,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,lead_vs_prematch_gap <= -0.0106,"""lead_vs_prematch_gap"" IS NOT NULL AND ""lead_vs_prematch_gap"" <= -0.0106",COMBINA_1027.xlsx
BAS_prop:first_s_0026,prop:first_scorer_hold,Jobber,2.248,47.1,4.8,317,prop:first_scorer_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,price_gap <= 1.89,"""price_gap"" IS NOT NULL AND ""price_gap"" <= 1.89",COMBINA_1027.xlsx
BAS_tg_under_lag_0123,tg_under_lag,Vision,1.902,55.2,4.7,347,tg_under_lag,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,line_vel <= 3,"""line_vel"" IS NOT NULL AND ""line_vel"" <= 3",COMBINA_1027.xlsx
BAS_prop:first_s_0042,prop:first_scorer_hold,Jobber,2.265,46.4,4.7,323,prop:first_scorer_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,2,prog_period <= 0.3414 AND rk_implied_edge <= 0.4534,"""prog_period"" IS NOT NULL AND ""prog_period"" <= 0.3414 AND ""rk_implied_edge"" IS NOT NULL AND ""rk_implied_edge"" <= 0.4534",COMBINA_1027.xlsx
BAS_prop:first_s_0027,prop:first_scorer_hold,Jobber,2.351,43.7,4.6,323,prop:first_scorer_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,prog_period <= 0.5091,"""prog_period"" IS NOT NULL AND ""prog_period"" <= 0.5091",COMBINA_1027.xlsx
BAS_prop:shorten_0192,prop:shortener_vs_open,Npc,1.672,62.9,4.5,319,prop:shortener_vs_open,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,2,lead_vs_med <= 0.941 AND ten_mins <= 16.5308,"""lead_vs_med"" IS NOT NULL AND ""lead_vs_med"" <= 0.941 AND ""ten_mins"" IS NOT NULL AND ""ten_mins"" <= 16.5308",COMBINA_1027.xlsx
BAS_dog_leading_0160,dog_leading,Jobber,2.443,43.7,4.5,337,dog_leading,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,2,tg_overround <= 1.1175 AND req_ratio >= 1.195,"""tg_overround"" IS NOT NULL AND ""tg_overround"" <= 1.1175 AND ""req_ratio"" IS NOT NULL AND ""req_ratio"" >= 1.195",COMBINA_1027.xlsx
BAS_lead_ml_0069,lead_ml,Npc,1.587,66.5,4.4,396,lead_ml,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,2,dp_lead_open <= 2.75 AND lead_m15 <= 1,"""dp_lead_open"" IS NOT NULL AND ""dp_lead_open"" <= 2.75 AND ""lead_m15"" IS NOT NULL AND ""lead_m15"" <= 1",COMBINA_1027.xlsx
BAS_prop:shorten_0183,prop:shortener_vs_open,Npc,1.665,62.9,4.3,330,prop:shortener_vs_open,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,X_minute__over__u_elapsed <= 43.0064,"""X_minute__over__u_elapsed"" IS NOT NULL AND ""X_minute__over__u_elapsed"" <= 43.0064",COMBINA_1027.xlsx
BAS_prop:late_le_0208,prop:late_lead_hold,Npc,1.604,64.6,4.1,357,prop:late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,leader_implied_gap >= 0.0232,"""leader_implied_gap"" IS NOT NULL AND ""leader_implied_gap"" >= 0.0232",COMBINA_1027.xlsx
BAS_late_lead_ho_0089,late_lead_hold,Npc,1.638,64.1,4.1,339,late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,X_minute__over__u_vol <= 353.579,"""X_minute__over__u_vol"" IS NOT NULL AND ""X_minute__over__u_vol"" <= 353.579",COMBINA_1027.xlsx
BAS_late_lead_ho_0221,late_lead_hold,Jobber,2.408,44.3,4.1,280,late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,2,tg_overround <= 1.1237 AND secs_since_quarter_start <= 41.6871,"""tg_overround"" IS NOT NULL AND ""tg_overround"" <= 1.1237 AND ""secs_since_quarter_start"" IS NOT NULL AND ""secs_since_quarter_start"" <= 41.6871",COMBINA_1027.xlsx
BAS_q1_winner_0128,q1_winner,Npc,1.481,70.3,4,341,q1_winner,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,rk_implied_edge >= 0.107,"""rk_implied_edge"" IS NOT NULL AND ""rk_implied_edge"" >= 0.107",COMBINA_1027.xlsx
BAS_spread_dog_c_0102,spread_dog_cover,Vision,1.8,57.7,3.9,349,spread_dog_cover,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,price_move_since_score <= 1,"""price_move_since_score"" IS NOT NULL AND ""price_move_since_score"" <= 1",COMBINA_1027.xlsx
BAS_spec:TG_Hist_0046,spec:TG_Historical_vs_Handicap_Under,Vision,1.914,54.8,3.9,320,spec:TG_Historical_vs_Handicap_Under,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,dog_odds_vol_180 <= 0.3005,"""dog_odds_vol_180"" IS NOT NULL AND ""dog_odds_vol_180"" <= 0.3005",COMBINA_1027.xlsx
BAS_prop:shorten_0212,prop:shortener_vs_open,Jobber,2.408,44.4,3.9,298,prop:shortener_vs_open,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,tg_px_ratio <= 1.1543,"""tg_px_ratio"" IS NOT NULL AND ""tg_px_ratio"" <= 1.1543",COMBINA_1027.xlsx
BAS_prop:shorten_0190,prop:shortener_vs_open,Npc,1.662,63.2,3.8,361,prop:shortener_vs_open,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,u_vel_t <= 0,"""u_vel_t"" IS NOT NULL AND ""u_vel_t"" <= 0",COMBINA_1027.xlsx
BAS_prop:garbage_0120,prop:garbage_under,Vision,1.767,58.6,3.8,354,prop:garbage_under,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,pts_last_60s >= 1.5,"""pts_last_60s"" IS NOT NULL AND ""pts_last_60s"" >= 1.5",COMBINA_1027.xlsx
BAS_dog_leading_0171,dog_leading,Jobber,2.474,43.4,3.8,318,dog_leading,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,2,opp_drift <= 1.0492 AND tg_overround <= 1.1169,"""opp_drift"" IS NOT NULL AND ""opp_drift"" <= 1.0492 AND ""tg_overround"" IS NOT NULL AND ""tg_overround"" <= 1.1169",COMBINA_1027.xlsx
BAS_spec:HT_Unde_0110,spec:HT_Underdog_Fade,Npc,1.734,60.1,3.7,348,spec:HT_Underdog_Fade,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,lead_vs_med <= 1.1401,"""lead_vs_med"" IS NOT NULL AND ""lead_vs_med"" <= 1.1401",COMBINA_1027.xlsx
BAS_prop:first_s_0040,prop:first_scorer_hold,Jobber,2.256,46,3.7,316,prop:first_scorer_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,2,loser_runmin >= 1.2769 AND u_jump <= 1.0976,"""loser_runmin"" IS NOT NULL AND ""loser_runmin"" >= 1.2769 AND ""u_jump"" IS NOT NULL AND ""u_jump"" <= 1.0976",COMBINA_1027.xlsx
BAS_prop:first_s_0038,prop:first_scorer_hold,Jobber,2.219,46.5,3.6,372,prop:first_scorer_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,tg_px_ratio >= 1,"""tg_px_ratio"" IS NOT NULL AND ""tg_px_ratio"" >= 1",COMBINA_1027.xlsx
BAS_dog_covering_0074,dog_covering_late,Vision,1.8,57.5,3.5,341,dog_covering_late,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,u_ratio_open <= 2.8369,"""u_ratio_open"" IS NOT NULL AND ""u_ratio_open"" <= 2.8369",COMBINA_1027.xlsx
BAS_spread_dog_c_0105,spread_dog_cover,Vision,1.8,57.4,3.4,308,spread_dog_cover,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,2,price_move_since_score <= 1 AND backed_pts_last_60s <= 3.8538,"""price_move_since_score"" IS NOT NULL AND ""price_move_since_score"" <= 1 AND ""backed_pts_last_60s"" IS NOT NULL AND ""backed_pts_last_60s"" <= 3.8538",COMBINA_1027.xlsx
BAS_prop:first_s_0082,prop:first_scorer_hold,Npc,1.614,64.8,3.3,328,prop:first_scorer_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,2,tg_imp_over >= 0.5165 AND lead_changes_total <= 1,"""tg_imp_over"" IS NOT NULL AND ""tg_imp_over"" >= 0.5165 AND ""lead_changes_total"" IS NOT NULL AND ""lead_changes_total"" <= 1",COMBINA_1027.xlsx
BAS_spec:Leader_0054,spec:Leader,Npc,1.548,66.7,3.1,413,spec:Leader,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,trailer_price >= 1.92,"""trailer_price"" IS NOT NULL AND ""trailer_price"" >= 1.92",COMBINA_1027.xlsx
BAS_lead_ml_0060,lead_ml,Npc,1.622,64.3,3.1,405,lead_ml,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,dow >= 2,"""dow"" IS NOT NULL AND ""dow"" >= 2",COMBINA_1027.xlsx
BAS_prop:first_s_0086,prop:first_scorer_hold,Npc,1.611,64.3,3.1,361,prop:first_scorer_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,2,trailer_price >= 1.84 AND tg_imp_over >= 0.5126,"""trailer_price"" IS NOT NULL AND ""trailer_price"" >= 1.84 AND ""tg_imp_over"" IS NOT NULL AND ""tg_imp_over"" >= 0.5126",COMBINA_1027.xlsx
