strategy,family,base,market,band,bets,oos_win,oos_roi,reasons
BAS_prop:first_s_0091,prop:first_scorer_hold,prop:first_scorer_hold,,1.40-4.20,331,64.7,5.0,"the base backs the side that scored FIRST. resolve_side has no first-scorer role; resolve_side cannot answer it, so it is registered and not enabled"
BAS_prop:match_t_0073,prop:match_total_pace,prop:match_total_pace,,1.40-4.20,365,54.5,4.7,base 'prop:match_total_pace' settles a total but its own name does not say UNDER or OVER; registering the wrong direction settles the bet on the opposite event
BAS_q1_winner_0130,q1_winner,q1_winner,,1.40-4.20,319,50.0,4.1,"market '' / outcome '' (base 'q1_winner') is not one basketball settles; it settles ['lead_ml', 'match_winner', 'total_points_under', 'trail_ml']. Tried nothing"
BAS_spec:HT_Unde_0122,spec:HT_Underdog_Fade,spec:HT_Underdog_Fade,,1.40-4.20,321,59.4,3.5,"the base backs the winner of a PERIOD. resolve_side answers only the side leading right now; resolve_side cannot answer it, so it is registered and not enabled"
BAS_prop:first_s_0052,prop:first_scorer_hold,prop:first_scorer_hold,,1.40-4.20,326,46.9,3.5,"the base backs the side that scored FIRST. resolve_side has no first-scorer role; resolve_side cannot answer it, so it is registered and not enabled"
BAS_prop:first_s_0058,prop:first_scorer_hold,prop:first_scorer_hold,,1.40-4.20,314,46.3,3.4,"the base backs the side that scored FIRST. resolve_side has no first-scorer role; resolve_side cannot answer it, so it is registered and not enabled"
BAS_prop:first_s_0051,prop:first_scorer_hold,prop:first_scorer_hold,,1.40-4.20,329,46.2,3.3,"the base backs the side that scored FIRST. resolve_side has no first-scorer role; resolve_side cannot answer it, so it is registered and not enabled"
BAS_h1_winner_0177,h1_winner,h1_winner,,1.40-4.20,328,67.3,3.2,"market '' / outcome '' (base 'h1_winner') is not one basketball settles; it settles ['lead_ml', 'match_winner', 'total_points_under', 'trail_ml']. Tried nothing"
BAS_prop:first_s_0096,prop:first_scorer_hold,prop:first_scorer_hold,,1.40-4.20,323,64.2,3.2,"the base backs the side that scored FIRST. resolve_side has no first-scorer role; resolve_side cannot answer it, so it is registered and not enabled"
BAS_prop:match_t_0021,prop:match_total_pace,prop:match_total_pace,,1.40-4.20,414,57.7,3.1,base 'prop:match_total_pace' settles a total but its own name does not say UNDER or OVER; registering the wrong direction settles the bet on the opposite event
BAS_spec:HT_Unde_0123,spec:HT_Underdog_Fade,spec:HT_Underdog_Fade,,1.40-4.20,331,59.5,3.0,"the base backs the winner of a PERIOD. resolve_side answers only the side leading right now; resolve_side cannot answer it, so it is registered and not enabled"
BAS_prop:first_s_0053,prop:first_scorer_hold,prop:first_scorer_hold,,1.40-4.20,314,45.9,3.0,"the base backs the side that scored FIRST. resolve_side has no first-scorer role; resolve_side cannot answer it, so it is registered and not enabled"
BAS_spread_dog_c_0155,spread_dog_cover,spread_dog_cover,,1.40-4.20,439,53.4,2.4,"market '' / outcome 'spread' (base 'spread_dog_cover') is not one basketball settles; it settles ['lead_ml', 'match_winner', 'total_points_under', 'trail_ml']. Tried ['spread']"
BAS_spec:HT_Unde_0124,spec:HT_Underdog_Fade,spec:HT_Underdog_Fade,,1.40-4.20,334,59.6,2.3,"the base backs the winner of a PERIOD. resolve_side answers only the side leading right now; resolve_side cannot answer it, so it is registered and not enabled"
BAS_spread_dog_c_0119,spread_dog_cover,spread_dog_cover,,1.40-4.20,360,56.8,2.3,"market '' / outcome 'spread' (base 'spread_dog_cover') is not one basketball settles; it settles ['lead_ml', 'match_winner', 'total_points_under', 'trail_ml']. Tried ['spread']"
BAS_prop:first_s_0090,prop:first_scorer_hold,prop:first_scorer_hold,,1.40-4.20,339,64.0,1.9,"the base backs the side that scored FIRST. resolve_side has no first-scorer role; resolve_side cannot answer it, so it is registered and not enabled"
BAS_prop:first_s_0065,prop:first_scorer_hold,prop:first_scorer_hold,,1.40-4.20,316,45.8,1.8,"the base backs the side that scored FIRST. resolve_side has no first-scorer role; resolve_side cannot answer it, so it is registered and not enabled"
BAS_prop:first_s_0064,prop:first_scorer_hold,prop:first_scorer_hold,,1.40-4.20,337,43.6,1.8,"the base backs the side that scored FIRST. resolve_side has no first-scorer role; resolve_side cannot answer it, so it is registered and not enabled"
BAS_prop:first_s_0093,prop:first_scorer_hold,prop:first_scorer_hold,,1.40-4.20,418,62.1,1.6,"the base backs the side that scored FIRST. resolve_side has no first-scorer role; resolve_side cannot answer it, so it is registered and not enabled"
BAS_spread_dog_c_0120,spread_dog_cover,spread_dog_cover,,1.40-4.20,309,56.4,1.5,"market '' / outcome 'spread' (base 'spread_dog_cover') is not one basketball settles; it settles ['lead_ml', 'match_winner', 'total_points_under', 'trail_ml']. Tried ['spread']"
BAS_prop:first_s_0095,prop:first_scorer_hold,prop:first_scorer_hold,,1.40-4.20,328,65.7,1.4,"the base backs the side that scored FIRST. resolve_side has no first-scorer role; resolve_side cannot answer it, so it is registered and not enabled"
BAS_spread_dog_c_0178,spread_dog_cover,spread_dog_cover,,1.40-4.20,350,49.2,1.3,"market '' / outcome 'spread' (base 'spread_dog_cover') is not one basketball settles; it settles ['lead_ml', 'match_winner', 'total_points_under', 'trail_ml']. Tried ['spread']"
BAS_prop:first_s_0094,prop:first_scorer_hold,prop:first_scorer_hold,,1.40-4.20,321,64.8,1.2,"the base backs the side that scored FIRST. resolve_side has no first-scorer role; resolve_side cannot answer it, so it is registered and not enabled"
BAS_spec:HT_Unde_0042,spec:HT_Underdog_Fade,spec:HT_Underdog_Fade,,1.40-4.20,278,41.6,1.2,"the base backs the winner of a PERIOD. resolve_side answers only the side leading right now; resolve_side cannot answer it, so it is registered and not enabled"
BAS_prop:first_s_0099,prop:first_scorer_hold,prop:first_scorer_hold,,1.40-4.20,339,62.3,0.8,"the base backs the side that scored FIRST. resolve_side has no first-scorer role; resolve_side cannot answer it, so it is registered and not enabled"
BAS_spec:Early_H_0088,spec:Early_Hammer,spec:Early_Hammer,,1.40-4.20,340,50.9,0.6,"the base backs the side that scored FIRST. resolve_side has no first-scorer role; resolve_side cannot answer it, so it is registered and not enabled"
BAS_prop:h1_lead_0175,prop:h1_leader_hold,prop:h1_leader_hold,,1.40-4.20,369,64.2,0.4,"the base backs the winner of a PERIOD (half, quarter, map or set). resolve_side answers only the side leading RIGHT NOW, which is a different side on most ticks; resolve_side cannot answer it, so it is registered and not enabled"
BAS_h1_winner_0176,h1_winner,h1_winner,,1.40-4.20,421,65.3,0.1,"market '' / outcome '' (base 'h1_winner') is not one basketball settles; it settles ['lead_ml', 'match_winner', 'total_points_under', 'trail_ml']. Tried nothing"
